text,label
"Уважаемые представители банка! Я вынужден написать эту жалобу в связи с некорректным поведением сотрудника вашего отделения. Вчера, 15 ноября 2023 года, при обращении в отделение на улице Ленина, 25, сотрудник Иванов А.С. проявил грубость и отказался предоставлять консультацию по вопросу оформления ипотечного кредита. Требую провести служебную проверку и принять соответствующие меры в отношении данного сотрудника.",complaint
"Прошу предоставить выписку по расчетному счету №40702810500000012345 за период с 1 января 2024 года по 31 марта 2024 года. Выписка необходима для предоставления в налоговые органы в рамках проведения камеральной проверки. Прошу направить документ в электронном виде на адрес электронной почты client@company.ru с усиленной квалифицированной электронной подписью.",document_request
"ООО 'Бизнес-Технологии' предлагает рассмотреть возможность стратегического партнерства в области внедрения инновационных решений для автоматизации процесса кредитного скоринга. Наша компания готова предложить уникальную платформу на основе искусственного интеллекта, которая позволит повысить точность оценки кредитоспособности клиентов на 25%. Просим рассмотреть наше предложение и назначить встречу для обсуждения деталей сотрудничества.",partnership
"В соответствии с положением Банка России № 654-П от 12.08.2021 'О порядке представления кредитными организациями отчетности в Центральный банк Российской Федерации', просим предоставить информацию о соблюдении нормативов ликвидности (Н2, Н3, Н4) по состоянию на 1 апреля 2024 года, а также отчет о выполнении резервных требований за первый квартал 2024 года. Ответ просим направить в установленные законодательством сроки.",regulatory
"Направляем на согласование проект дополнительного соглашения №2 к договору комплексного обслуживания №567-Д от 12.03.2023. Просим рассмотреть представленные документы и в случае отсутствия замечаний подписать их в установленном порядке. В случае наличия замечаний просим направить их в письменной форме в течение 5 рабочих дней для их последующего учета и доработки документов.",approval_request
"Уведомляем Вас об изменении реквизитов нашей организации. С 1 мая 2024 года юридический адрес изменен на: 123456, г. Москва, ул. Центральная, д. 15. Банковские реквизиты и контактная информация остаются без изменений. Просим учесть данную информацию при дальнейшем взаимодействии и направлении корреспонденции.",notification
"Выражаю крайнее недовольство качеством обслуживания в вашем банке. 10 ноября 2023 года при попытке снять денежные средства в банкомате №2478, расположенном по адресу: г. Москва, ул. Пушкина, 10, произошел сбой, в результате которого сумма 15 000 рублей была списана со счета, но не выдана наличными. Прошу немедленно вернуть средства и компенсировать причиненные неудобства.",complaint
"Просим предоставить заверенные копии договоров банковского вклада №ВКЛ-456789 и №ВКЛ-456790, заключенных 15 февраля 2024 года, для представления в суд в рамках дела №А40-123456/2024. Также просим предоставить справку о движении денежных средств по указанным вкладам за период с 15 февраля 2024 года по 15 мая 2024 года.",document_request
"Компания 'Финансовые инновации' предлагает сотрудничество в области разработки и внедрения мобильного приложения для розничных клиентов банка. Мы обладаем успешным опытом создания подобных решений для крупных финансовых организаций и готовы предложить индивидуальный подход с учетом специфики вашего банка. Просим рассмотреть возможность организации встречи для презентации нашего портфолио и обсуждения потенциального сотрудничества.",partnership
"На основании статьи 76 Федерального закона №86-ФЗ 'О Центральном банке Российской Федерации' и указания Банка России №1234-У, просим предоставить разъяснения по порядку формирования резервов на возможные потери по ссудам за II квартал 2024 года, а также представить отчет о проведенной работе по оценке кредитных рисков. Ответ должен быть предоставлен в течение 10 рабочих дней с момента получения настоящего запроса.",regulatory
"Направляем на согласование заявку на получение кредита для юридического лица в размере 5 000 000 рублей сроком на 36 месяцев. К письму прилагаются следующие документы: финансовая отчетность за 2023 год, бизнес-план, выписки по счетам. Просим рассмотреть заявку и уведомить о решении в установленные сроки.",approval_request
"Информируем Вас о временном изменении графика работы нашего центрального офиса. С 1 по 31 декабря 2024 года офис будет работать с понедельника по пятницу с 9:00 до 18:00. В субботу и воскресенье офис работать не будет. Обычный график работы будет восстановлен с 1 января 2025 года.",notification
"Жалоба на неправомерное списание денежных средств. 25 октября 2023 года с моего счета №40817810500001234567 была ошибочно списана сумма 7 500 рублей в качестве комиссии за обслуживание, хотя согласно тарифам, действующим для пакета услуг 'Премиум', данная комиссия не предусмотрена. Требую вернуть незаконно списанные средства и провести проверку работы автоматизированной системы.",complaint
"Прошу предоставить справку о наличии счетов и движении денежных средств по ним за период с 1 января 2022 года по 31 декабря 2023 года для физического лица Петрова Ивана Сергеевича (паспорт серии 4510 №123456, выдан 15.03.2018 ОВД района Теплый Стан г. Москвы). Справка необходима для предоставления в консульство Великобритании при оформлении визы.",document_request
"ООО 'Инвест-Проект' предлагает рассмотреть возможность совместной реализации проекта по строительству бизнес-центра в деловом районе города. Мы готовы предоставить земельный участок и частичное финансирование, ищем банк-партнера для кредитования строительства. Имеется положительное заключение государственной экспертизы и вся необходимая разрешительная документация.",partnership
"В рамках проведения плановой проверки соблюдения валютного законодательства Российской Федерации, на основании статьи 23 Федерального закона №173-ФЗ 'О валютном регулировании и валютном контроле', просим предоставить паспорта сделок по внешнеторговым контрактам, заключенным в 2023-2024 годах, а также отчеты о валютных операциях за указанный период.",regulatory
"Просим согласовать изменения в графике погашения кредита №КР-2024-789 от 15.03.2024. В связи с временными финансовыми трудностями просим предоставить кредитные каникулы на срок 6 месяцев с последующим пересмотром графика платежей. К письму прилагаем финансовую отчетность и план по восстановлению платежеспособности.",approval_request
"Сообщаем, что с 1 июня 2024 года вступают в силу новые тарифы на расчетно-кассовое обслуживание юридических лиц. Основные изменения касаются стоимости проведения платежных поручений и инкассации денежной наличности. Подробная информация о новых тарифах размещена на официальном сайте банка в разделе 'Тарифы для юридических лиц'.",notification
"Жалоба на длительное ожидание одобрения кредитной заявки. Заявка №567890 была подана 10 октября 2023 года, однако до настоящего момента не получено никакого ответа от кредитного комитета. Срок рассмотрения превышает установленные законом 5 рабочих дней. Требую немедленно предоставить ответ по существу заявки и компенсировать моральный вред, вызванный задержкой.",complaint
"Прошу предоставить архивные копии платежных поручений за 2022 год по счету №40702810700000098765. Документы необходимы для проведения внутреннего аудита и сверки расчетов с контрагентами. Прошу направить документы в бумажном виде с живой подписью и печатью банка.",document_request
"Группа компаний 'Финансовые решения' предлагает партнерство в области развития эквайринговых услуг для малого и среднего бизнеса. Мы готовы предоставить собственную сеть торговых агентов и маркетинговую поддержку. Имеем успешный опыт сотрудничества с региональными банками в 15 субъектах РФ.",partnership
"На основании положения Банка России № 579-П 'Об обязательных резервах кредитных организаций' требуем предоставить расчет обязательных резервов, подлежащих депонированию в Банке России, по состоянию на 1 мая 2024 года, а также отчет о выполнении резервных требований за апрель 2024 года.",regulatory
"Направляем пакет документов для согласования открытия аккредитива №AKK-2024-123 на сумму 3 500 000 рублей в пользу ООО 'Поставщик'. Просим рассмотреть документы и уведомить о возможности открытия аккредитива в течение 3 рабочих дней.",approval_request
"Информируем о проведении технических работ в системе интернет-банкинга 25 декабря 2024 года с 23:00 до 03:00 по московскому времени. В указанный период возможны временные перебои в работе сервиса. Приносим извинения за возможные неудобства.",notification
"Жалоба на некорректную работу мобильного приложения банка. При попытке совершить перевод между счетами 12 ноября 2023 года приложение выдало ошибку, однако сумма 25 000 рублей была списана со счета трижды. Требую вернуть излишне списанные средства и исправить ошибки в программном обеспечении.",complaint
"Прошу предоставить справку об остатке денежных средств на расчетном счете №40702810900000054321 по состоянию на 31 декабря 2023 года, заверенную печатью банка. Справка необходима для представления в арбитражный суд по делу №А65-9876/2024.",document_request
"IT-компания 'КиберТех' предлагает сотрудничество в области защиты банковских информационных систем от кибератак. Специализируемся на пентестинге и аудите безопасности. Готовы провести бесплатный пробный аудит одного из ваших серверов.",partnership
"В соответствии с указанием Банка России № 2252-У 'О перечне, формах и порядке составления и представления форм отчетности кредитных организаций в Центральный банк Российской Федерации' требуем представить отчет по форме 0409135 за второй квартал 2024 года.",regulatory
"Просим согласовать увеличение лимита по овердрафту для расчетного счета №40702810600000012398 с 500 000 до 1 000 000 рублей. К письму прилагаем обновленные финансовые показатели и план развития бизнеса на 2024 год.",approval_request
"Уведомляем о введении нового тарифного плана 'Бизнес-Оптима' для корпоративных клиентов с 1 февраля 2024 года. Тариф включает увеличенные лимиты на бесплатные платежные поручения и пониженные комиссии за инкассацию.",notification
"Претензия по поводу незаконного начисления процентов по кредитному договору №567-К от 15.01.2023. Проценты начисляются по ставке 18% годовых вместо согласованных 15%. Требую произвести перерасчет и вернуть излишне уплаченные проценты за весь период действия договора.",complaint
"Прошу предоставить выписку по валютному счету №40702840500000087654 в долларах США за период с 1 января 2024 года по 30 июня 2024 года. Выписка должна содержать информацию обо всех операциях с указанием курсов валют на дату проведения каждой операции.",document_request
"Строительная компания 'МегаСтрой' предлагает партнерство в реализации проекта жилого комплекса 'Северные высоты'. Ищем банк для организации эскроу-счетов дольщиков. Готовы рассмотреть эксклюзивные условия сотрудничества.",partnership
"На основании Федерального закона № 115-ФЗ 'О противодействии легализации (отмыванию) доходов, полученных преступным путем' требуем предоставить информацию о проведенных операциях, подлежащих обязательному контролю, за первый квартал 2024 года.",regulatory
"Направляем на согласование заявку на получение банковской гарантии №БГ-456 на сумму 7 800 000 рублей для участия в тендере на выполнение государственного контракта. Просим ускорить рассмотрение в связи с приближающимся сроком подачи заявки на тендер.",approval_request
"Сообщаем об изменении реквизитов для уплаты налогов и сборов. С 1 марта 2024 года УФК по г. Москве изменяет номер счета. Актуальные реквизиты доступны в личном кабинете интернет-банка и у персонального менеджера.",notification
